open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,can_be_ignored
1680310320000,28430.89,28432.56,28425.46,28425.46,11.92139,1680310379999,338893.2377632,549,7.54912,214600.3616066,0
1680310380000,28425.46,28425.47,28421.63,28421.63,12.02001,1680310439999,341660.2062758,428,4.43633,126098.4668848,0
1680310440000,28421.64,28424.43,28419.99,28420.0,15.37873,1680310499999,437085.852295,722,6.73654,191462.5081444,0
1680310500000,28419.99,28441.6,28419.99,28437.2,31.03688,1680310559999,882403.8912889,830,18.8829,536761.153158,0
1680310560000,28437.2,28437.21,28434.5,28435.56,9.92876,1680310619999,282330.7768059,499,7.19112,204481.7383565,0
1680310620000,28435.56,28437.33,28433.61,28437.33,14.36223,1680310679999,408398.8471648,484,8.65893,246219.7422619,0
1680310680000,28437.33,28437.33,28429.56,28435.3,15.50322,1680310739999,440800.7190428,565,8.08735,229945.214133,0
1680310740000,28435.31,28438.27,28435.3,28438.27,9.57817,1680310799999,272368.3219741,410,4.8521,137977.7234368,0
1680310800000,28438.26,28450.0,28435.31,28449.99,17.90937,1680310859999,509362.9690331,586,12.0459,342604.7592919,0
1680310860000,28449.99,28460.03,28449.99,28453.33,17.23878,1680310919999,490535.0475933,601,10.22582,290972.6569227,0
1680310920000,28453.32,28453.33,28447.13,28447.14,22.06707,1680310979999,627846.5056279,595,9.09128,258652.949956,0
1680310980000,28447.14,28447.14,28440.0,28440.0,7.46859,1680311039999,212440.5751674,330,2.49704,71025.8964751,0
1680311040000,28440.0,28447.53,28439.88,28447.53,10.01235,1680311099999,284773.6370156,462,4.59209,130609.3205476,0
1680311100000,28447.53,28448.89,28430.0,28430.01,18.75127,1680311159999,533250.7395683,632,6.24303,177569.0952037,0
1680311160000,28430.0,28430.87,28425.53,28425.85,12.42737,1680311219999,353304.3635947,586,4.39881,125053.01003,0
1680311220000,28425.54,28425.54,28416.8,28418.83,17.20172,1680311279999,488879.5957895,626,4.47202,127100.9627236,0
1680311280000,28418.82,28419.4,28412.25,28412.83,19.55618,1680311339999,555722.5214973,807,7.24627,205914.7002693,0
1680311340000,28412.84,28417.0,28410.35,28414.98,29.4249,1680311399999,836084.0881939,834,14.61292,415198.127868,0
1680311400000,28414.98,28429.43,28413.97,28418.05,21.9154,1680311459999,622900.2210372,857,9.43352,268101.2664687,0
1680311460000,28418.04,28418.05,28415.59,28415.59,8.74381,1680311519999,248476.5794056,244,1.3348,37930.1164708,0
1680311520000,28415.59,28437.6,28415.45,28437.6,15.46096,1680311579999,439461.4696511,726,10.9263,310567.7144472,0
1680311580000,28437.6,28441.21,28437.59,28440.03,13.15721,1680311639999,374194.8267075,423,7.06075,200808.3509373,0
